bench,target,perf_target,sd_target
loader,1200.00,0.5,0.10
cart,2000.00,0.5,0.05
atari,1.24,0.5,0.05
toy_reg,147298.73,0.5,0.05
toy_lstm,0.48,0.5,0.05
vae,4717.01,0.5,0.05
reso,152.00,0.5,0.05
translator,86.26,0.5,0.05
wlm,705.43,0.5,0.05
wlmfp16,1282.66,0.5,0.05
ssd,58.58,0.5,0.05
fast_style,179.43,0.5,0.05
dcgan,192.10,0.5,0.05
convnet,143.17,0.5,0.05
convnet_fp16,188.53,0.5,0.05
recom,18683.00,0.5,0.05
convnet_distributed,225.99,0.5,0.05
convnet_distributed_fp16,315.81,0.5,0.05
dcgan_all,261.60,0.5,0.05
scaling,1.00,0.85,0.02
