bench,target,perf_target,sd_target
loader,1200.00,0.5,0.10
cart,2000.00,0.5,0.05
atari,5.00,0.5,0.05
toy_reg,300000.00,0.5,0.05
toy_lstm,1.50,0.5,0.05
vae,7500.00,0.5,0.05
reso,150.00,0.5,0.05
translator,225.00,0.5,0.05
wlm,1400.00,0.5,0.05
wlmfp16,3750.00,0.5,0.05
ssd,50.00,0.5,0.05
fast_style,150.00,0.5,0.05
dcgan,150.00,0.5,0.05
convnet,175.00,0.5,0.05
convnet_fp16,325.00,0.5,0.05
recom,20000.00,0.5,0.05
convnet_distributed,276.10,0.5,0.05
convnet_distributed_fp16,330.41,0.5,0.05
dcgan_all,139.29,0.5,0.05
scaling,1.00,0.85,0.02
