bench,target,perf_target,sd_target
loader,1200.00,0.5,0.10
cart,2000.00,0.5,0.05
atari,6.00,0.5,0.05
toy_reg,300000.00,0.5,0.05
toy_lstm,2.00,0.5,0.05
vae,7500.00,0.5,0.05
reso,280.00,0.5,0.05
translator,225.00,0.5,0.05
wlm,1600.00,0.5,0.05
wlmfp16,5000.00,0.5,0.05
ssd,70.00,0.5,0.05
fast_style,250.00,0.5,0.05
dcgan,250.00,0.5,0.05
convnet,215.00,0.5,0.05
convnet_fp16,415.00,0.5,0.05
recom,20000.00,0.5,0.05
convnet_distributed,339.78,0.5,0.05
convnet_distributed_fp16,393.81,0.5,0.05
dcgan_all,154.86,0.5,0.05
scaling,1.00,0.85,0.02
